  #K-Path    Energy        Ti        Al
# NKPTS & NBANDS: 180 128
# Band-Index:    1
    1.857  -56.5088     0.992     0.000
    1.815  -56.5088     0.996     0.000
    1.774  -56.5088     0.996     0.000
    1.733  -56.5088     0.996     0.000
    1.691  -56.5089     0.996     0.000
    1.650  -56.5089     0.992     0.000
    1.609  -56.5090     0.996     0.000
    1.567  -56.5090     0.992     0.000
    1.526  -56.5091     0.996     0.000
    1.484  -56.5092     0.996     0.000
    1.443  -56.5092     0.996     0.000
    1.402  -56.5093     0.992     0.000
    1.360  -56.5093     0.992     0.000
    1.319  -56.5094     0.992     0.000
    1.277  -56.5094     0.996     0.000
    1.236  -56.5094     0.996     0.000
    1.195  -56.5095     0.992     0.000
    1.153  -56.5095     0.996     0.000
    1.112  -56.5095     0.996     0.000
    1.112  -56.5095     0.994     0.000
    1.083  -56.5113     0.996     0.000
    1.053  -56.5136     0.996     0.000
    1.024  -56.5159     0.992     0.000
    0.995  -56.5181     0.996     0.000
    0.966  -56.5203     0.996     0.000
    0.936  -56.5224     0.996     0.000
    0.907  -56.5244     0.996     0.000
    0.878  -56.5263     0.992     0.000
    0.849  -56.5280     0.996     0.000
    0.819  -56.5297     0.996     0.000
    0.790  -56.5312     0.996     0.000
    0.761  -56.5325     0.996     0.000
    0.732  -56.5337     0.996     0.000
    0.702  -56.5347     0.996     0.000
    0.673  -56.5355     0.996     0.000
    0.644  -56.5362     0.996     0.000
    0.614  -56.5367     0.992     0.000
    0.585  -56.5370     0.992     0.000
    0.556  -56.5371     0.992     0.000
    0.556  -56.5371     0.992     0.000
    0.527  -56.5347     0.992     0.000
    0.497  -56.5323     0.992     0.000
    0.468  -56.5300     0.992     0.000
    0.439  -56.5277     0.992     0.000
    0.410  -56.5255     0.992     0.000
    0.380  -56.5234     0.992     0.000
    0.351  -56.5214     0.992     0.000
    0.322  -56.5194     0.992     0.000
    0.293  -56.5176     0.992     0.000
    0.263  -56.5159     0.992     0.000
    0.234  -56.5144     0.992     0.000
    0.205  -56.5130     0.992     0.000
    0.176  -56.5118     0.992     0.000
    0.146  -56.5107     0.992     0.000
    0.117  -56.5099     0.992     0.000
    0.088  -56.5092     0.992     0.000
    0.059  -56.5087     0.992     0.000
    0.029  -56.5087     0.992     0.000
    0.000  -56.5087     0.996     0.000
 
