#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180 128
# Band-Index:    1
   3.39680    -56.509239  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.43818    -56.513899  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.47956    -56.518530  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.52095    -56.523102  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.56233    -56.527584  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.60371    -56.531944  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.64509    -56.536154  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   3.68647    -56.540181  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   3.72785    -56.543998  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.76924    -56.547578  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.81062    -56.550901  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   3.85200    -56.553938  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.89338    -56.556670  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.93476    -56.559082  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   3.97615    -56.561150  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   4.01753    -56.562862  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   4.05891    -56.564206  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   4.10029    -56.565172  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.14167    -56.565757  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.18306    -56.565953  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   4.18306    -56.537607  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.20341    -56.537606  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.22376    -56.537605  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.24411    -56.537601  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.26446    -56.537592  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.28481    -56.537585  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   4.30516    -56.537574  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.32551    -56.537562  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.34587    -56.537550  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.36622    -56.537537  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   4.38657    -56.537521  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.40692    -56.537504  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.42727    -56.537486  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.44762    -56.537467  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.46797    -56.537447  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   4.48833    -56.537422  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   4.50868    -56.537399  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.52903    -56.537377  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.54938    -56.537357  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.56973    -56.537337  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.56973    -56.509489  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.59008    -56.509488  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.61043    -56.509486  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.63078    -56.509481  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.65114    -56.509472  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.67149    -56.509464  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.69184    -56.509457  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.71219    -56.509447  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.73254    -56.509435  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.75289    -56.509421  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.77324    -56.509407  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.79360    -56.509391  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.81395    -56.509375  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.83430    -56.509358  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.85465    -56.509339  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.87500    -56.509320  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.89535    -56.509299  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   4.91570    -56.509279  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.93605    -56.509259  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.95641    -56.509239  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
 
# Band-Index:    2
   4.95641    -56.509239  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.93605    -56.509259  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.91570    -56.509279  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.89535    -56.509299  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.87500    -56.509320  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.85465    -56.509339  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.83430    -56.509358  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.81395    -56.509375  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.79360    -56.509391  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.77324    -56.509407  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.75289    -56.509421  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.73254    -56.509435  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.71219    -56.509447  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   4.69184    -56.509457  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.67149    -56.509464  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.65114    -56.509472  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.63078    -56.509481  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.61043    -56.509486  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.59008    -56.509488  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.56973    -56.509489  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
