  #K-Path    Energy        Ti        Al        Ga
# NKPTS & NBANDS: 180 128
# Band-Index:    1
    4.239  -56.9211     0.994     0.000     0.000
    4.259  -56.9211     0.994     0.000     0.000
    4.279  -56.9211     0.994     0.000     0.000
    4.299  -56.9211     0.994     0.000     0.000
    4.319  -56.9211     0.994     0.000     0.000
    4.339  -56.9211     0.994     0.000     0.000
    4.359  -56.9211     0.994     0.000     0.000
    4.379  -56.9211     0.994     0.000     0.000
    4.399  -56.9211     0.994     0.000     0.000
    4.419  -56.9211     0.994     0.000     0.000
    4.419  -56.9201     0.996     0.000     0.000
    4.439  -56.9201     0.994     0.000     0.000
    4.459  -56.9201     0.996     0.000     0.000
    4.478  -56.9201     0.996     0.000     0.000
    4.498  -56.9201     0.994     0.000     0.000
    4.518  -56.9201     0.996     0.000     0.000
    4.538  -56.9201     0.996     0.000     0.000
    4.558  -56.9201     0.996     0.000     0.000
    4.578  -56.9201     0.996     0.000     0.000
    4.598  -56.9201     0.996     0.000     0.000
    4.618  -56.9201     0.994     0.000     0.000
    4.638  -56.9202     0.994     0.000     0.000
    4.658  -56.9202     0.994     0.000     0.000
    4.678  -56.9202     0.996     0.000     0.000
    4.698  -56.9202     0.994     0.000     0.000
    4.718  -56.9202     0.994     0.000     0.000
    4.737  -56.9202     0.994     0.000     0.000
    4.757  -56.9202     0.996     0.000     0.000
    4.777  -56.9202     0.994     0.000     0.000
    4.797  -56.9202     0.994     0.000     0.000
 
# Band-Index:    4
    4.797  -56.9202     0.994     0.000     0.000
    4.777  -56.9202     0.994     0.000     0.000
    4.757  -56.9202     0.996     0.000     0.000
    4.737  -56.9202     0.994     0.000     0.000
    4.718  -56.9202     0.994     0.000     0.000
    4.698  -56.9202     0.994     0.000     0.000
    4.678  -56.9202     0.996     0.000     0.000
    4.658  -56.9202     0.994     0.000     0.000
    4.638  -56.9202     0.994     0.000     0.000
    4.618  -56.9201     0.994     0.000     0.000
    4.598  -56.9201     0.996     0.000     0.000
    4.578  -56.9201     0.996     0.000     0.000
    4.558  -56.9201     0.996     0.000     0.000
    4.538  -56.9201     0.996     0.000     0.000
    4.518  -56.9201     0.996     0.000     0.000
    4.498  -56.9201     0.994     0.000     0.000
    4.478  -56.9201     0.996     0.000     0.000
    4.459  -56.9201     0.996     0.000     0.000
    4.439  -56.9201     0.994     0.000     0.000
    4.419  -56.9201     0.996     0.000     0.000
    4.419  -56.9211     0.996     0.000     0.000
    4.399  -56.9211     0.996     0.000     0.000
    4.379  -56.9211     0.996     0.000     0.000
