  #K-Path    Energy        Ti        Ga        Al
# NKPTS & NBANDS: 180 128
# Band-Index:    1
    0.176  -56.5392     0.992     0.000     0.000
    0.205  -56.5404     0.992     0.000     0.000
    0.234  -56.5418     0.992     0.000     0.000
    0.264  -56.5434     0.992     0.000     0.000
    0.293  -56.5451     0.992     0.000     0.000
    0.322  -56.5470     0.992     0.000     0.000
    0.351  -56.5489     0.992     0.000     0.000
    0.381  -56.5510     0.992     0.000     0.000
    0.410  -56.5531     0.992     0.000     0.000
    0.439  -56.5554     0.992     0.000     0.000
    0.469  -56.5577     0.992     0.000     0.000
    0.498  -56.5601     0.992     0.000     0.000
    0.527  -56.5624     0.992     0.000     0.000
    0.556  -56.5646     0.992     0.000     0.000
    0.556  -56.5646     0.992     0.000     0.000
    0.586  -56.5645     0.992     0.000     0.000
    0.615  -56.5642     0.992     0.000     0.000
    0.644  -56.5637     0.992     0.000     0.000
    0.674  -56.5630     0.992     0.000     0.000
    0.703  -56.5622     0.992     0.000     0.000
    0.732  -56.5611     0.992     0.000     0.000
    0.762  -56.5599     0.992     0.000     0.000
    0.791  -56.5586     0.992     0.000     0.000
    0.820  -56.5571     0.992     0.000     0.000
    0.849  -56.5554     0.992     0.000     0.000
    0.879  -56.5536     0.992     0.000     0.000
    0.908  -56.5517     0.992     0.000     0.000
    0.937  -56.5497     0.992     0.000     0.000
    0.967  -56.5476     0.992     0.000     0.000
    0.996  -56.5454     0.992     0.000     0.000
    1.025  -56.5431     0.992     0.000     0.000
    1.054  -56.5408     0.992     0.000     0.000
    1.084  -56.5385     0.992     0.000     0.000
    1.113  -56.5364     0.996     0.000     0.000
    1.113  -56.5364     0.992     0.000     0.000
    1.154  -56.5364     0.996     0.000     0.000
    1.196  -56.5364     0.996     0.000     0.000
    1.237  -56.5364     0.996     0.000     0.000
    1.279  -56.5363     0.996     0.000     0.000
    1.320  -56.5363     0.996     0.000     0.000
    1.362  -56.5362     0.996     0.000     0.000
    1.403  -56.5362     0.996     0.000     0.000
    1.444  -56.5361     0.996     0.000     0.000
    1.486  -56.5361     0.996     0.000     0.000
    1.527  -56.5360     0.996     0.000     0.000
    1.569  -56.5360     0.996     0.000     0.000
    1.610  -56.5359     0.996     0.000     0.000
    1.651  -56.5358     0.996     0.000     0.000
    1.693  -56.5358     0.996     0.000     0.000
    1.734  -56.5357     0.996     0.000     0.000
    1.776  -56.5357     0.996     0.000     0.000
    1.817  -56.5357     0.996     0.000     0.000
    1.859  -56.5357     0.996     0.000     0.000
    1.900  -56.5357     0.996     0.000     0.000
    1.900  -56.5357     0.992     0.000     0.000
    1.920  -56.5357     0.996     0.000     0.000
    1.941  -56.5357     0.996     0.000     0.000
    1.961  -56.5357     0.996     0.000     0.000
    1.982  -56.5357     0.996     0.000     0.000
    2.002  -56.5356     0.992     0.000     0.000
    2.022  -56.5356     0.996     0.000     0.000
    2.043  -56.5356     0.996     0.000     0.000
    2.063  -56.5356     0.996     0.000     0.000
    2.083  -56.5356     0.992     0.000     0.000
    2.104  -56.5356     0.996     0.000     0.000
    2.124  -56.5356     0.996     0.000     0.000
    2.145  -56.5356     0.996     0.000     0.000
    2.165  -56.5355     0.996     0.000     0.000
    2.185  -56.5355     0.992     0.000     0.000
    2.206  -56.5355     0.996     0.000     0.000
    2.226  -56.5355     0.996     0.000     0.000
    2.247  -56.5355     0.992     0.000     0.000
    2.267  -56.5355     0.992     0.000     0.000
    2.287  -56.5354     0.996     0.000     0.000
    2.287  -56.5354     0.996     0.000     0.000
    2.317  -56.5355     0.992     0.000     0.000
    2.346  -56.5358     0.992     0.000     0.000
    2.375  -56.5363     0.992     0.000     0.000
    2.405  -56.5370     0.992     0.000     0.000
    2.434  -56.5379     0.992     0.000     0.000
    2.463  -56.5390     0.992     0.000     0.000
    2.492  -56.5402     0.992     0.000     0.000
    2.522  -56.5416     0.992     0.000     0.000
    2.551  -56.5432     0.992     0.000     0.000
    2.580  -56.5449     0.992     0.000     0.000
    2.610  -56.5467     0.992     0.000     0.000
    2.639  -56.5487     0.992     0.000     0.000
    2.668  -56.5507     0.992     0.000     0.000
    2.697  -56.5529     0.992     0.000     0.000
    2.727  -56.5551     0.992     0.000     0.000
    2.756  -56.5574     0.992     0.000     0.000
    2.785  -56.5598     0.992     0.000     0.000
    2.815  -56.5622     0.992     0.000     0.000
    2.844  -56.5643     0.992     0.000     0.000
    2.844  -56.5643     0.992     0.000     0.000
    2.873  -56.5642     0.992     0.000     0.000
    2.902  -56.5639     0.992     0.000     0.000
    2.932  -56.5634     0.992     0.000     0.000
    2.961  -56.5628     0.992     0.000     0.000
    2.990  -56.5619     0.992     0.000     0.000
    3.020  -56.5609     0.992     0.000     0.000
    3.049  -56.5597     0.992     0.000     0.000
    3.078  -56.5583     0.992     0.000     0.000
    3.107  -56.5568     0.992     0.000     0.000
    3.137  -56.5551     0.992     0.000     0.000
    3.166  -56.5534     0.992     0.000     0.000
    3.195  -56.5514     0.992     0.000     0.000
    3.225  -56.5494     0.992     0.000     0.000
    3.254  -56.5473     0.992     0.000     0.000
    3.283  -56.5451     0.992     0.000     0.000
    3.313  -56.5429     0.992     0.000     0.000
    3.342  -56.5406     0.992     0.000     0.000
    3.371  -56.5383     0.992     0.000     0.000
    3.400  -56.5362     0.996     0.000     0.000
    3.400  -56.5362     0.996     0.000     0.000
    3.442  -56.5362     0.996     0.000     0.000
    3.483  -56.5362     0.996     0.000     0.000
    3.525  -56.5361     0.996     0.000     0.000
    3.566  -56.5361     0.996     0.000     0.000
    3.607  -56.5361     0.996     0.000     0.000
    3.649  -56.5360     0.996     0.000     0.000
    3.690  -56.5360     0.996     0.000     0.000
    3.732  -56.5359     0.996     0.000     0.000
    3.773  -56.5358     0.996     0.000     0.000
    3.815  -56.5358     0.996     0.000     0.000
    3.856  -56.5357     0.996     0.000     0.000
    3.897  -56.5357     0.996     0.000     0.000
    3.939  -56.5356     0.996     0.000     0.000
    3.980  -56.5356     0.996     0.000     0.000
    4.022  -56.5355     0.996     0.000     0.000
    4.063  -56.5355     0.996     0.000     0.000
    4.105  -56.5355     0.996     0.000     0.000
    4.146  -56.5354     0.996     0.000     0.000
    4.187  -56.5354     0.996     0.000     0.000
    4.187  -56.5646     0.992     0.000     0.000
    4.208  -56.5646     0.992     0.000     0.000
    4.228  -56.5646     0.992     0.000     0.000
    4.249  -56.5645     0.992     0.000     0.000
    4.269  -56.5645     0.992     0.000     0.000
    4.289  -56.5645     0.992     0.000     0.000
    4.310  -56.5645     0.992     0.000     0.000
    4.330  -56.5645     0.992     0.000     0.000
    4.350  -56.5645     0.992     0.000     0.000
    4.371  -56.5645     0.992     0.000     0.000
    4.391  -56.5645     0.992     0.000     0.000
    4.412  -56.5644     0.992     0.000     0.000
    4.432  -56.5644     0.992     0.000     0.000
    4.452  -56.5644     0.992     0.000     0.000
    4.473  -56.5644     0.992     0.000     0.000
    4.493  -56.5644     0.992     0.000     0.000
    4.514  -56.5643     0.992     0.000     0.000
    4.534  -56.5643     0.992     0.000     0.000
    4.554  -56.5643     0.992     0.000     0.000
    4.575  -56.5643     0.992     0.000     0.000
    4.575  -56.5364     0.992     0.000     0.000
    4.595  -56.5364     0.996     0.000     0.000
    4.616  -56.5364     0.996     0.000     0.000
    4.636  -56.5364     0.996     0.000     0.000
    4.656  -56.5364     0.992     0.000     0.000
    4.677  -56.5364     0.996     0.000     0.000
    4.697  -56.5364     0.996     0.000     0.000
    4.717  -56.5364     0.996     0.000     0.000
    4.738  -56.5364     0.996     0.000     0.000
    4.758  -56.5363     0.996     0.000     0.000
    4.779  -56.5363     0.996     0.000     0.000
    4.799  -56.5363     0.992     0.000     0.000
    4.819  -56.5363     0.996     0.000     0.000
    4.840  -56.5363     0.996     0.000     0.000
    4.860  -56.5363     0.996     0.000     0.000
    4.881  -56.5362     0.996     0.000     0.000
    4.901  -56.5362     0.996     0.000     0.000
    4.921  -56.5362     0.996     0.000     0.000
    4.942  -56.5362     0.996     0.000     0.000
    4.962  -56.5362     0.996     0.000     0.000
 
# Band-Index:    4
    4.962  -56.5362     0.994     0.000     0.000
    4.942  -56.5362     0.996     0.000     0.000
    4.921  -56.5362     0.996     0.000     0.000
    4.901  -56.5362     0.996     0.000     0.000
    4.881  -56.5362     0.996     0.000     0.000
    4.860  -56.5363     0.996     0.000     0.000
    4.840  -56.5363     0.996     0.000     0.000
    4.819  -56.5363     0.996     0.000     0.000
    4.799  -56.5363     0.992     0.000     0.000
    4.779  -56.5363     0.996     0.000     0.000
    4.758  -56.5363     0.996     0.000     0.000
    4.738  -56.5364     0.996     0.000     0.000
    4.717  -56.5364     0.996     0.000     0.000
    4.697  -56.5364     0.996     0.000     0.000
    4.677  -56.5364     0.996     0.000     0.000
    4.656  -56.5364     0.992     0.000     0.000
    4.636  -56.5364     0.996     0.000     0.000
    4.616  -56.5364     0.996     0.000     0.000
    4.595  -56.5364     0.996     0.000     0.000
    4.575  -56.5364     0.992     0.000     0.000
    4.575  -56.5643     0.992     0.000     0.000
    4.554  -56.5642     0.992     0.000     0.000
    4.534  -56.5642     0.992     0.000     0.000
    4.514  -56.5642     0.992     0.000     0.000
    4.493  -56.5642     0.992     0.000     0.000
    4.473  -56.5642     0.992     0.000     0.000
    4.452  -56.5641     0.992     0.000     0.000
    4.432  -56.5641     0.992     0.000     0.000
    4.412  -56.5641     0.992     0.000     0.000
    4.391  -56.5641     0.992     0.000     0.000
    4.371  -56.5641     0.992     0.000     0.000
    4.350  -56.5641     0.992     0.000     0.000
    4.330  -56.5640     0.992     0.000     0.000
    4.310  -56.5640     0.992     0.000     0.000
    4.289  -56.5640     0.992     0.000     0.000
    4.269  -56.5640     0.992     0.000     0.000
    4.249  -56.5640     0.992     0.000     0.000
    4.228  -56.5640     0.992     0.000     0.000
    4.208  -56.5640     0.992     0.000     0.000
    4.187  -56.5640     0.992     0.000     0.000
    4.187  -56.5354     0.996     0.000     0.000
    4.146  -56.5354     0.996     0.000     0.000
    4.105  -56.5355     0.996     0.000     0.000
    4.063  -56.5355     0.996     0.000     0.000
    4.022  -56.5355     0.996     0.000     0.000
    3.980  -56.5356     0.996     0.000     0.000
    3.939  -56.5356     0.996     0.000     0.000
    3.897  -56.5357     0.996     0.000     0.000
    3.856  -56.5357     0.996     0.000     0.000
    3.815  -56.5358     0.996     0.000     0.000
    3.773  -56.5358     0.996     0.000     0.000
    3.732  -56.5359     0.996     0.000     0.000
    3.690  -56.5360     0.996     0.000     0.000
    3.649  -56.5360     0.996     0.000     0.000
    3.607  -56.5361     0.996     0.000     0.000
    3.566  -56.5361     0.996     0.000     0.000
    3.525  -56.5361     0.996     0.000     0.000
    3.483  -56.5362     0.996     0.000     0.000
